trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-112.38357020129763,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-221.37925277827068,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-97.60661600915601,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-83.92645040615194,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-75.55556204942215,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-61.19594166584102,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-200.83669834213126,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,0,-72.73223361620663,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,5,-117.95157770437348,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",30,0,-162.26983927798585,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-94.5640803669902,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,9,-40.564970127443374,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-145.3371672148289,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-123.7135807311446,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-37.86958579455228,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",30,7,-72.53342860263554,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-137.7556145501779,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-62.207959963781434,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-99.37135610805733,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",30,0,-162.32605598801948,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-7.547395492629631,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,0,-69.03010264327116,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,0,-73.85528421666055,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-91.78433207173445,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",30,0,-50.24852489967388,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-65.79194388233283,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-162.48450222757455,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,0,-40.82139392006048,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-148.64467333300735,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-103.8481746392071,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",30,0,-122.75479486461236,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,13,8.666891506308241,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",20,0,-40.3895311078654,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,8,-30.561892300453948,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-39.98592035073358,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
