trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.18509156419212,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.6471480466851,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.87588626772816,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.20642046243637,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,8,-49.55463243626235,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.35504793848368,"{0: 17, 1: 2, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.2485326963704,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,19,-47.91038757241302,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-129.3585569330569,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-261.0414831575721,"{0: 19, 1: 2, 2: 9, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.29105005516897,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.62279323584534,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.79542394522892,"{0: 13, 1: 8, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.41152690795099,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.9963720639979,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.46293661804708,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.27540329556221,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.12194925324295,"{0: 21, 1: 2, 2: 1, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.84766467099027,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.0925226009761,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.39434049277254,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.94777625890869,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.03175249919732,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-246.0785326488821,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,4,-98.66203918694356,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.45410804067927,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.5951755538914,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,7,-124.81888855964112,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.9709281297868,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.21050328287492,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
